epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9243,2.24285,3.82969,1.27645,0.19847,0.25081,0.15865,0.03304,3.05548,inf,1.94606,0.0702727,0.00330303,0.00330303
2,127.165,1.55356,1.49685,1.00734,0.83721,0.64308,0.7979,0.50946,1.49288,3.07948,0.93563,0.0401851,0.00654876,0.00654876
3,190.189,1.48104,1.39793,0.98412,0.67348,0.48043,0.59206,0.30744,1.92311,3.56398,0.97926,0.0100095,0.0097065,0.0097065
4,253.616,1.4243,1.29031,0.96847,0.58006,0.26448,0.42614,0.28028,1.6143,3.08131,0.9587,0.009604,0.009604,0.009604
5,317.557,1.3661,1.13717,0.95663,0.70966,0.63031,0.74161,0.45868,1.5075,2.03274,0.91629,0.009472,0.009472,0.009472
6,381.643,1.32723,1.0345,0.94479,0.8275,0.805,0.87202,0.6019,1.28494,0.9559,0.88082,0.00934,0.00934,0.00934
7,446.229,1.29754,0.98255,0.93806,0.9136,0.86635,0.90957,0.64649,1.26375,0.84823,0.87636,0.009208,0.009208,0.009208
8,510.944,1.24339,0.92392,0.92693,0.91655,0.84511,0.90004,0.62509,1.40169,1.09196,0.90222,0.009076,0.009076,0.009076
9,575.665,1.2375,0.9348,0.92106,0.90535,0.83032,0.89957,0.6412,1.19137,0.85355,0.8654,0.008944,0.008944,0.008944
10,640.411,1.20982,0.86934,0.91779,0.90849,0.85939,0.89977,0.65634,1.17978,0.82166,0.86263,0.008812,0.008812,0.008812
11,705.105,1.21161,0.87252,0.92029,0.92304,0.68619,0.84786,0.60593,1.25069,1.08612,0.8771,0.00868,0.00868,0.00868
12,769.858,1.18537,0.86154,0.91214,0.85921,0.78006,0.8478,0.61115,1.23678,1.09393,0.87549,0.008548,0.008548,0.008548
13,834.651,1.20289,0.81331,0.91313,0.92126,0.8808,0.92631,0.69756,1.11519,0.73087,0.8561,0.008416,0.008416,0.008416
14,899.495,1.16655,0.79027,0.90607,0.94706,0.87794,0.9291,0.67613,1.16495,0.74415,0.85585,0.008284,0.008284,0.008284
15,964.497,1.15026,0.78777,0.90889,0.83625,0.6789,0.81912,0.58918,1.12401,1.33911,0.8557,0.008152,0.008152,0.008152
16,1029.45,1.15979,0.78704,0.9117,0.93996,0.88055,0.92709,0.70383,1.07533,0.68772,0.85231,0.00802,0.00802,0.00802
17,1094.44,1.13984,0.762,0.90142,0.93165,0.88287,0.9277,0.71134,1.05411,0.71716,0.84578,0.007888,0.007888,0.007888
18,1159.58,1.10718,0.73018,0.89927,0.95512,0.89141,0.93425,0.71517,1.07532,0.69311,0.84841,0.007756,0.007756,0.007756
19,1224.71,1.09301,0.72462,0.89421,0.96244,0.90551,0.9387,0.71414,1.04321,0.63306,0.84234,0.007624,0.007624,0.007624
20,1289.66,1.10229,0.73607,0.89348,0.93636,0.89946,0.93577,0.70217,1.08553,0.69008,0.84721,0.007492,0.007492,0.007492
